Algorithm,Flow,augmenting_paths,blocking_flows,max_level_depth,relabel_ops,variant,mean_increment,median_increment,max_increment,memory_peak_kb
Ford-Fulkerson,24,20.0,,,,,1.2,1.0,3.0,193.5390625
Edmonds-Karp,24,2.0,,,,,12.0,12.0,14.0,193.5390625
Dinic,24,,2.0,10.0,,,12.0,12.0,14.0,193.734375
Push-Relabel,77,,,,7.0,basic,,,,193.7734375
Capacity-Scaling,24,,,,,,,,,193.578125
Greedy-Fattest,24,1.0,,,,,24.0,24.0,24.0,194.71484375
Push-Relabel-FIFO,101,,,,476.0,FIFO,,,,194.75
Push-Relabel-Highest,77,,,,1.0,Highest,,,,194.53125
Push-Relabel-Gap,77,,,,1.0,Highest+Gap,,,,194.4921875
Push-Relabel-Global,77,,,,1.0,Highest+Global,,,,194.5
