Algorithm,Flow,MeanTime,StdTime,CapacityType
Ford-Fulkerson,0,0.00033020973205566406,,low
Edmonds-Karp,0,0.0004932880401611328,,low
Dinic,0,0.00030231475830078125,,low
Push-Relabel,18,0.0002677440643310547,,low
Capacity-Scaling,0,0.0010561943054199219,,low
Greedy-Fattest,0,0.0005924701690673828,,low
Ford-Fulkerson,84,0.008283615112304688,,medium
Edmonds-Karp,84,0.001194000244140625,,medium
Dinic,84,0.0019421577453613281,,medium
Push-Relabel,103,0.00045371055603027344,,medium
Capacity-Scaling,84,0.002213716506958008,,medium
Greedy-Fattest,84,0.001878976821899414,,medium
Ford-Fulkerson,1277,0.055512428283691406,,high
Edmonds-Karp,1277,0.003558635711669922,,high
Dinic,1277,0.00451970100402832,,high
Push-Relabel,2426,0.0004494190216064453,,high
Capacity-Scaling,1277,0.003972291946411133,,high
Greedy-Fattest,1277,0.0034699440002441406,,high
