Algorithm,Flow,MeanTime,StdTime,Distance,Nodes
Ford-Fulkerson,1,4.553794860839844e-05,,20,22
Edmonds-Karp,1,3.8623809814453125e-05,,20,22
Dinic,1,6.151199340820312e-05,,20,22
Push-Relabel,1,6.961822509765625e-05,,20,22
Capacity-Scaling,1,4.220008850097656e-05,,20,22
Greedy-Fattest,1,4.6253204345703125e-05,,20,22
Ford-Fulkerson,1,7.700920104980469e-05,,50,52
Edmonds-Karp,1,7.200241088867188e-05,,50,52
Dinic,1,0.00011777877807617188,,50,52
Push-Relabel,1,0.00014209747314453125,,50,52
Capacity-Scaling,1,8.273124694824219e-05,,50,52
Greedy-Fattest,1,7.82012939453125e-05,,50,52
Ford-Fulkerson,1,0.00020575523376464844,,100,102
Edmonds-Karp,1,0.00014781951904296875,,100,102
Dinic,1,0.00022101402282714844,,100,102
Push-Relabel,1,0.0002865791320800781,,100,102
Capacity-Scaling,1,0.00015783309936523438,,100,102
Greedy-Fattest,1,0.00017118453979492188,,100,102
Ford-Fulkerson,1,0.00031876564025878906,,200,202
Edmonds-Karp,1,0.0003154277801513672,,200,202
Dinic,1,0.0004355907440185547,,200,202
Push-Relabel,1,0.0005941390991210938,,200,202
Capacity-Scaling,1,0.0003285408020019531,,200,202
Greedy-Fattest,1,0.00034236907958984375,,200,202
Ford-Fulkerson,1,0.0005769729614257812,,300,302
Edmonds-Karp,1,0.0004665851593017578,,300,302
Dinic,1,0.0006961822509765625,,300,302
Push-Relabel,1,0.0008754730224609375,,300,302
Capacity-Scaling,1,0.0005054473876953125,,300,302
Greedy-Fattest,1,0.0004627704620361328,,300,302
