Algorithm,Flow,MeanTime,StdTime,Density,Nodes
Ford-Fulkerson,170,0.01765608787536621,,0.05,250
Edmonds-Karp,170,0.07158756256103516,,0.05,250
Dinic,170,0.006871461868286133,,0.05,250
Push-Relabel,221,0.00115966796875,,0.05,250
Capacity-Scaling,170,0.0066335201263427734,,0.05,250
Greedy-Fattest,170,0.018502473831176758,,0.05,250
Ford-Fulkerson,275,0.02962470054626465,,0.1,250
Edmonds-Karp,275,0.0264890193939209,,0.1,250
Dinic,275,0.012932300567626953,,0.1,250
Push-Relabel,306,0.002144336700439453,,0.1,250
Capacity-Scaling,275,0.07145094871520996,,0.1,250
Greedy-Fattest,275,0.04511880874633789,,0.1,250
Ford-Fulkerson,743,0.11883068084716797,,0.2,250
Edmonds-Karp,743,0.05618906021118164,,0.2,250
Dinic,743,0.057408809661865234,,0.2,250
Push-Relabel,654,0.004284381866455078,,0.2,250
Capacity-Scaling,743,0.03415679931640625,,0.2,250
Greedy-Fattest,743,0.19478702545166016,,0.2,250
Ford-Fulkerson,1150,0.1760880947113037,,0.3,250
Edmonds-Karp,1150,0.1515810489654541,,0.3,250
Dinic,1150,0.02813267707824707,,0.3,250
Push-Relabel,1253,0.007943868637084961,,0.3,250
Capacity-Scaling,1150,0.14530420303344727,,0.3,250
Greedy-Fattest,1150,0.4318692684173584,,0.3,250
Ford-Fulkerson,1603,0.0908365249633789,,0.4,250
Edmonds-Karp,1603,0.18216228485107422,,0.4,250
Dinic,1603,0.02512526512145996,,0.4,250
Push-Relabel,1515,0.009572505950927734,,0.4,250
Capacity-Scaling,1603,0.08896327018737793,,0.4,250
Greedy-Fattest,1603,0.5241773128509521,,0.4,250
