Algorithm,Flow,MeanTime,StdTime,PathLength,Nodes
Ford-Fulkerson,1,8.58306884765625e-05,,50,52
Edmonds-Karp,1,8.130073547363281e-05,,50,52
Dinic,1,0.00010061264038085938,,50,52
Push-Relabel,1,0.00012993812561035156,,50,52
Capacity-Scaling,1,8.654594421386719e-05,,50,52
Greedy-Fattest,1,8.273124694824219e-05,,50,52
Ford-Fulkerson,1,0.00019407272338867188,,100,102
Edmonds-Karp,1,0.00014162063598632812,,100,102
Dinic,1,0.00017023086547851562,,100,102
Push-Relabel,1,0.00024628639221191406,,100,102
Capacity-Scaling,1,0.0001647472381591797,,100,102
Greedy-Fattest,1,0.00015282630920410156,,100,102
Ford-Fulkerson,1,0.00031447410583496094,,200,202
Edmonds-Karp,1,0.00030541419982910156,,200,202
Dinic,1,0.000370025634765625,,200,202
Push-Relabel,1,0.0005044937133789062,,200,202
Capacity-Scaling,1,0.0003314018249511719,,200,202
Greedy-Fattest,1,0.0003108978271484375,,200,202
Ford-Fulkerson,1,0.0008604526519775391,,400,402
Edmonds-Karp,1,0.00058746337890625,,400,402
Dinic,1,0.0007340908050537109,,400,402
Push-Relabel,1,0.0011818408966064453,,400,402
Capacity-Scaling,1,0.0006711483001708984,,400,402
Greedy-Fattest,1,0.0006418228149414062,,400,402
