Algorithm,Flow,MeanTime,StdTime,Nodes,Edges,Density
Ford-Fulkerson,305,0.0011570453643798828,,50,625,0.25510204081632654
Edmonds-Karp,305,0.0011830329895019531,,50,625,0.25510204081632654
Dinic,305,0.0011463165283203125,,50,625,0.25510204081632654
Push-Relabel,521,0.0002970695495605469,,50,625,0.25510204081632654
Capacity-Scaling,305,0.0006287097930908203,,50,625,0.25510204081632654
Greedy-Fattest,305,0.0026335716247558594,,50,625,0.25510204081632654
Ford-Fulkerson,631,0.04953265190124512,,100,2500,0.25252525252525254
Edmonds-Karp,631,0.010703563690185547,,100,2500,0.25252525252525254
Dinic,631,0.005049228668212891,,100,2500,0.25252525252525254
Push-Relabel,740,0.0009136199951171875,,100,2500,0.25252525252525254
Capacity-Scaling,631,0.008531808853149414,,100,2500,0.25252525252525254
Greedy-Fattest,631,0.0247347354888916,,100,2500,0.25252525252525254
Ford-Fulkerson,1255,0.08674764633178711,,200,10000,0.25125628140703515
Edmonds-Karp,1255,0.04610466957092285,,200,10000,0.25125628140703515
Dinic,1255,0.05750155448913574,,200,10000,0.25125628140703515
Push-Relabel,1463,0.004149913787841797,,200,10000,0.25125628140703515
Capacity-Scaling,1255,0.03418278694152832,,200,10000,0.25125628140703515
Greedy-Fattest,1255,0.13482093811035156,,200,10000,0.25125628140703515
Ford-Fulkerson,2125,0.287322998046875,,400,40000,0.2506265664160401
Edmonds-Karp,2125,0.40198493003845215,,400,40000,0.2506265664160401
Dinic,2125,0.12806248664855957,,400,40000,0.2506265664160401
Push-Relabel,2506,0.07225298881530762,,400,40000,0.2506265664160401
Capacity-Scaling,2125,0.31940722465515137,,400,40000,0.2506265664160401
Greedy-Fattest,2125,1.1154758930206299,,400,40000,0.2506265664160401
Ford-Fulkerson,4840,1.927966594696045,,800,160000,0.2503128911138924
Edmonds-Karp,4840,2.5478949546813965,,800,160000,0.2503128911138924
Dinic,4840,0.33029818534851074,,800,160000,0.2503128911138924
Push-Relabel,5482,0.31543660163879395,,800,160000,0.2503128911138924
Capacity-Scaling,4840,1.1006770133972168,,800,160000,0.2503128911138924
Greedy-Fattest,4840,7.815848112106323,,800,160000,0.2503128911138924
