Algorithm,Flow,MeanTime,StdTime,EdgesPerNode,Density
Ford-Fulkerson,66,0.0017821788787841797,,1.99,0.01
Edmonds-Karp,66,0.001270294189453125,,1.99,0.01
Dinic,66,0.0038225650787353516,,1.99,0.01
Push-Relabel,87,0.000415802001953125,,1.99,0.01
Capacity-Scaling,66,0.0007798671722412109,,1.99,0.01
Greedy-Fattest,66,0.001432657241821289,,1.99,0.01
Ford-Fulkerson,132,0.016015052795410156,,3.98,0.02
Edmonds-Karp,132,0.005506992340087891,,3.98,0.02
Dinic,132,0.004076242446899414,,3.98,0.02
Push-Relabel,126,0.0007071495056152344,,3.98,0.02
Capacity-Scaling,132,0.0031723976135253906,,3.98,0.02
Greedy-Fattest,132,0.004395484924316406,,3.98,0.02
Ford-Fulkerson,186,0.009198904037475586,,9.95,0.05
Edmonds-Karp,186,0.004131317138671875,,9.95,0.05
Dinic,186,0.003465414047241211,,9.95,0.05
Push-Relabel,295,0.0009348392486572266,,9.95,0.05
Capacity-Scaling,186,0.0018641948699951172,,9.95,0.05
Greedy-Fattest,186,0.02307438850402832,,9.95,0.05
Ford-Fulkerson,533,0.0275726318359375,,19.9,0.1
Edmonds-Karp,533,0.07153749465942383,,19.9,0.1
Dinic,533,0.006700992584228516,,19.9,0.1
Push-Relabel,537,0.0015349388122558594,,19.9,0.1
Capacity-Scaling,533,0.01301717758178711,,19.9,0.1
Greedy-Fattest,533,0.03246116638183594,,19.9,0.1
Ford-Fulkerson,879,0.04538607597351074,,39.8,0.2
Edmonds-Karp,879,0.05101943016052246,,39.8,0.2
Dinic,879,0.01289510726928711,,39.8,0.2
Push-Relabel,827,0.006307840347290039,,39.8,0.2
Capacity-Scaling,879,0.03853797912597656,,39.8,0.2
Greedy-Fattest,879,0.07953572273254395,,39.8,0.2
Ford-Fulkerson,1590,0.05734539031982422,,59.7,0.3
Edmonds-Karp,1590,0.07471275329589844,,59.7,0.3
Dinic,1590,0.014516592025756836,,59.7,0.3
Push-Relabel,1368,0.005354404449462891,,59.7,0.3
Capacity-Scaling,1590,0.03176736831665039,,59.7,0.3
Greedy-Fattest,1590,0.21570277214050293,,59.7,0.3
Ford-Fulkerson,1986,0.10055947303771973,,79.6,0.4
Edmonds-Karp,1986,0.1558983325958252,,79.6,0.4
Dinic,1986,0.02326226234436035,,79.6,0.4
Push-Relabel,2141,0.0066945552825927734,,79.6,0.4
Capacity-Scaling,1986,0.09722328186035156,,79.6,0.4
Greedy-Fattest,1986,0.3036196231842041,,79.6,0.4
Ford-Fulkerson,2249,0.16215109825134277,,99.5,0.5
Edmonds-Karp,2249,0.2112274169921875,,99.5,0.5
Dinic,2249,0.02389693260192871,,99.5,0.5
Push-Relabel,2617,0.009105920791625977,,99.5,0.5
Capacity-Scaling,2249,0.1417229175567627,,99.5,0.5
Greedy-Fattest,2249,0.5427837371826172,,99.5,0.5
