Algorithm,Flow,MeanTime,StdTime,Topology
Ford-Fulkerson,9,0.0016291141510009766,,Random-Sparse
Edmonds-Karp,9,0.001218557357788086,,Random-Sparse
Dinic,9,0.0017151832580566406,,Random-Sparse
Push-Relabel,72,0.0007016658782958984,,Random-Sparse
Capacity-Scaling,9,0.0016732215881347656,,Random-Sparse
Greedy-Fattest,9,0.06451201438903809,,Random-Sparse
Ford-Fulkerson,1940,0.14387893676757812,,Random-Dense
Edmonds-Karp,1940,0.1987752914428711,,Random-Dense
Dinic,1940,0.03787112236022949,,Random-Dense
Push-Relabel,1899,0.009819507598876953,,Random-Dense
Capacity-Scaling,1940,0.13489484786987305,,Random-Dense
Greedy-Fattest,1940,0.4847240447998047,,Random-Dense
Ford-Fulkerson,577,0.01827073097229004,,Bipartite
Edmonds-Karp,577,0.016783952713012695,,Bipartite
Dinic,577,0.002895355224609375,,Bipartite
Push-Relabel,253,0.001069784164428711,,Bipartite
Capacity-Scaling,577,0.011378765106201172,,Bipartite
Greedy-Fattest,577,0.03964352607727051,,Bipartite
Ford-Fulkerson,89,0.01044607162475586,,Grid
Edmonds-Karp,89,0.016567468643188477,,Grid
Dinic,89,0.011139631271362305,,Grid
Push-Relabel,0,0.0014216899871826172,,Grid
Capacity-Scaling,89,0.0062906742095947266,,Grid
Greedy-Fattest,89,0.013880491256713867,,Grid
Ford-Fulkerson,240,0.0011737346649169922,,Layered
Edmonds-Karp,240,0.005422830581665039,,Layered
Dinic,240,0.0007615089416503906,,Layered
Push-Relabel,240,0.0008080005645751953,,Layered
Capacity-Scaling,240,0.004934072494506836,,Layered
Greedy-Fattest,240,0.009226083755493164,,Layered
Ford-Fulkerson,1,0.00035119056701660156,,Long-Path
Edmonds-Karp,1,0.00038552284240722656,,Long-Path
Dinic,1,0.0007450580596923828,,Long-Path
Push-Relabel,1,0.0009002685546875,,Long-Path
Capacity-Scaling,1,0.0005028247833251953,,Long-Path
Greedy-Fattest,1,0.00047326087951660156,,Long-Path
Ford-Fulkerson,8,0.003385305404663086,,Unit-Capacity
Edmonds-Karp,8,0.0036821365356445312,,Unit-Capacity
Dinic,8,0.005246400833129883,,Unit-Capacity
Push-Relabel,6,0.0013594627380371094,,Unit-Capacity
Capacity-Scaling,8,0.003804445266723633,,Unit-Capacity
Greedy-Fattest,8,0.055188655853271484,,Unit-Capacity
