Algorithm,Flow,MeanTime,StdTime,Nodes,Density
Ford-Fulkerson,4,0.000667572021484375,,100,0.05
Edmonds-Karp,4,0.0005145072937011719,,100,0.05
Dinic,4,0.0006725788116455078,,100,0.05
Push-Relabel,6,0.0001983642578125,,100,0.05
Capacity-Scaling,4,0.0005514621734619141,,100,0.05
Greedy-Fattest,4,0.0010890960693359375,,100,0.05
Ford-Fulkerson,10,0.0031638145446777344,,200,0.05
Edmonds-Karp,10,0.024410247802734375,,200,0.05
Dinic,10,0.0029883384704589844,,200,0.05
Push-Relabel,5,0.0008847713470458984,,200,0.05
Capacity-Scaling,10,0.0019998550415039062,,200,0.05
Greedy-Fattest,10,0.006957054138183594,,200,0.05
Ford-Fulkerson,11,0.012503385543823242,,400,0.05
Edmonds-Karp,11,0.010250329971313477,,400,0.05
Dinic,11,0.010068655014038086,,400,0.05
Push-Relabel,22,0.030014991760253906,,400,0.05
Capacity-Scaling,11,0.010560989379882812,,400,0.05
Greedy-Fattest,11,0.027990341186523438,,400,0.05
